Mast,MATHE7
112,0857696
112,4628029
112,5227299
112,2221869
112,5214108
112,7281817
112,1544635
112,1105685
112,8982664
112,5306304
112,5305144
112,5392403
112,6388383
112,5305733
112,6338782
112,6338222
112,3811772
112,3294010
112,3535420
112,4629310
112,2228130
114,1260968
114,3725867
114,2286115
114,4934985
114,2309534
114,3974893
114,2757613
114,4039102
114,4125772
114,4887931
114,2273900
114,0740805
118,8338758
118,1820568
118,8094767
118,8767637
118,1230537
118,5316377
118,4463436
118,2947746
118,5688814
118,5886554
118,2874824
118,5042244
118,7159403
118,3946183
118,1598922
118,2868112
118,8766322
118,5885071
118,6264861
118,0515316
119,1637328
119,2835197
119,9169056
119,3054816
119,7812835
119,3549474
119,4685983
119,0594124
120,6580689
120,2801799
120,7377888
120,9173778
120,8697325
120,5899824
120,3034872
120,3019682
120,1718322
120,3072981
120,9052591
120,2923301
120,2786330
121,3424499
121,7757868
121,2961997
121,8520757
121,4984524
121,2962573
121,0057305
122,6014088
122,5068117
122,4740297
122,7136377
122,1839516
122,6015096
122,3136815
122,4741174
122,8709204
122,1486192
122,3042822
122,1229802
122,8633531
122,3866180
123,1166779
123,1808489
123,8900869
123,4468208
123,8650818
123,2930778
123,3557967
123,9255997
123,2859916
123,1231406
123,5409056
123,2859595
123,8274624
123,4719624
123,5212304
123,7039823
123,2932523
123,8044902
123,2857620
123,6116240
124,4258949
124,3567908
124,2950528
124,8037977
112,4965489
112,9705299
112,2221248
112,6210528
112,6067687
112,3535527
112,2222747
112,0032614
112,6066275
112,8622215
112,2732222
112,3539451
112,5709231
112,4383830
112,3472340
112,5229420
114,9518649
114,2272196
114,4709946
114,4176335
114,6164383
114,8886842
114,2782342
114,2281011
114,6265441
114,0740714
114,9518080
114,0600300
118,2875359
118,2860709
118,1820559
118,3789638
118,1187028
118,4930258
118,3348117
118,2873446
118,1584775
118,3088264
118,1820574
118,9725983
118,4931402
118,1231132
118,4722312
118,1590031
118,2873261
118,4199180
118,4931620
118,8718740
119,3053109
120,3027809
120,4672985
120,9052984
120,4186653
120,0236837
120,7620532
120,1806142
120,1806081
120,4190990
120,2789360
121,3316609
121,1478348
121,3069518
121,6452977
121,3840697
121,4208024
121,7553292
121,4207591
121,4731500
121,0984502
122,8632109
122,4218099
122,3076228
122,3130188
122,5069177
122,3268227
122,6258107
122,8709957
122,6547796
122,3131586
122,8216163
122,8933702
122,5407622
123,8650499
123,4720409
123,4720409
123,5409388
123,6387227
123,2855717
123,1337157
123,0187265
123,3102896
123,1166755
123,5656825
123,3555995
123,1752115
123,3107175
123,2857324
123,1422214
123,3556013
123,1751793
123,4191142
123,6914942
123,3102642
123,8542640
124,5366179
124,7638179
124,4012589
124,9290907
124,9197955
124,9196035
124,3061425
124,7020955
124,4833793
124,3015073
124,5093912
124,3115622
124,1056751
124,1225691
124,2960000
112,3809339
112,8272928
112,3952857
112,1226767
112,8622247
112,8211467
112,8623076
112,8983403
112,5047953
112,8341073
112,9636073
112,9636073
112,2221613
112,4040382
112,2732222
112,2230342
112,5047740
112,3809900
112,3204160
114,2748439
114,2763628
114,1612048
114,7980427
114,2759347
114,2276375
114,5087374
114,9518214
114,2755583
114,2764522
114,4035022
114,8674111
114,2752630
114,1749030
118,2860229
118,9725609
118,4002189
118,0515090
118,3088488
118,3787808
118,2586258
118,3563138
118,7761298
118,4060678
118,4644528
118,6624357
118,0326469
118,4462116
118,4643655
118,1820625
118,2875964
118,5942884
118,5398003
118,0558334
118,9293252
118,5942832
118,4931072
118,4582010
118,7658790
118,3347980
118,4643810
119,9229526
119,5492415
119,0154850
119,3093644
120,2792789
120,7807979
120,7806719
120,3729928
120,7376797
120,8576167
120,7121467
120,3079616
120,6958466
120,9053986
120,1596175
120,2787174
120,8321184
120,5714074
120,3070743
120,0539122
120,6580600
120,8117970
121,2961039
121,5406599
121,1478248
121,3571248
121,7707788
121,1823976
121,7001845
121,0830639
121,0056330
121,6314682
121,2962570
122,6547288
122,3137298
122,8234848
122,3131528
122,9560267
122,3131237
122,4219837
122,6014677
122,8964116
122,6258136
122,3133306
122,3139525
122,8217215
122,3269873
122,7150333
122,3312163
122,1057782
122,3292941
122,5070931
122,3866481
122,7750311
122,1315711
122,3311081
123,6490719
123,6386068
123,1808528
112,7410579
112,3202239
112,1544928
112,2744748
112,2741078
112,2730548
112,4491966
112,7929276
112,5227665
112,7948824
112,5935704
112,0447229
112,4383782
112,8875172
112,7058292
112,2220052
112,4904132
112,2733811
114,4518927
114,2748466
114,8123786
114,9719856
114,9718206
114,8886984
114,0127048
114,6972173
114,8122812
114,9103351
114,4709740
118,0658599
118,0557599
118,2946889
118,9693408
118,5689888
118,5398116
118,3788376
118,0086679
118,3946286
118,4102766
118,4723525
118,0557749
118,9139774
118,7904914
118,8564341
118,4612781
118,3058840
118,0240105
118,3453720
119,5198179
119,7716969
119,7964378
119,3492787
119,4185236
119,7110044
119,6978022
119,5922852
119,2830011
119,8798000
119,1707670
120,9173778
120,1593627
120,3554997
120,8117607
120,0852764
120,3072315
120,2804045
120,6202455
120,3551134
120,2793133
120,0539125
120,3078151
120,5224641
120,1806121
120,2786060
120,7806110
121,5082029
121,1478147
121,1824006
121,8002646
121,3425964
121,4096252
122,8964229
122,6547579
122,4443888
122,1839518
122,8217488
122,4216978
122,3581846
122,3583783
122,3483143
122,1776483
122,8216163
122,3134382
122,6463411
122,8494610
123,6110319
123,5656188
123,4719338
123,1808497
123,2842726
123,7235986
123,1421626
123,5410536
123,5978115
123,6110105
123,8205774
123,8400504
123,2848043
123,1232053
123,0187332
123,8400333
123,4195071
123,8945331
123,7039351
123,5212711
123,0538910
124,5924608
124,2951727
124,8246507
112,5934789
112,0808991
112,3294728
112,4384528
112,4174028
112,0270284
112,1105387
112,5392106
112,4490366
112,8341155
112,7280534
112,1542664
112,1541914
112,6233494
112,1543323
112,8340963
112,9705033
112,3205042
112,4904132
112,8340421
112,3538391
112,8216051
112,8196550
112,9704230
114,3971459
114,4550309
114,1611479
114,2783518
114,7660587
114,8675795
114,4180574
114,1783142
114,2282551
114,4180691
114,2270361
114,4518540
118,1493379
118,2875529
118,7159749
118,0514995
118,2865708
118,7905118
118,1456927
118,7501717
118,0994368
118,3564643
118,3561113
118,3453133
118,4723753
118,2873882
118,9048671
118,3789410
118,5043690
119,9582599
119,5060579
119,3912095
119,3095904
120,3935749
120,4028599
120,2799738
120,5714298
120,9053637
120,7806037
120,8399185
120,9173605
120,4028595
120,3527215
120,2787434
120,2785634
120,6580903
120,0538736
120,2790101
120,5224181
120,3728920
121,1477447
121,0056768
121,3842217
121,5586385
121,1823975
121,3841244
121,8521284
121,4210424
121,4209253
121,8288681
121,5301311
122,8093049
122,3581179
122,8632519
122,2914958
122,7392927
122,1486247
122,3868927
122,3483346
122,1485974
122,3130614
122,7728094
122,6015824
122,3314284
122,6500764
122,8965543
122,4741123
122,3131363
122,3137242
122,4741620
123,5999459
123,2842919
123,4718119
123,3485638
123,2847888
123,1337268
123,5214655
123,4470534
123,2850314
123,1575403
123,2841913
123,3903723
123,9799632
123,9097801
123,8595001
112,2667807
112,6705847
112,4877436
112,4877276
112,8875956
112,4905726
112,5305085
112,3204805
112,6338174
112,4175633
112,1541933
112,2740043
112,2230493
112,8623323
112,3812613
112,3809392
112,4877831
112,2223891
