Mast,MATHE7
130,4120904
130,8306099
130,2004204
130,1208334
130,2627061
130,3643407
130,5310647
130,6529020
130,9561240
130,2623980
130,5872556
130,1872889
130,4531552
130,1940863
130,3518072
130,8587428
130,3515324
130,5178060
130,7483636
130,8639818
130,1860718
130,4158544
130,1598068
130,4829547
130,4987823
130,1278956
130,1613845
130,2403805
130,4531429
130,1581084
130,3040475
130,8617554
130,3277289
130,8267570
130,2531324
130,9560894
130,4037211
130,4104526
130,4457539
130,4926308
130,5850406
130,4038912
130,5366773
130,5369798
130,1865269
130,4117714
130,5293605
130,6247960
130,2104394
130,2347895
130,4648356
130,3291086
130,4020773
130,5451342
130,8587668
130,8722539
130,2330471
130,3616659
130,4057540
130,4158809
130,2883560
130,3518305
130,6739442
130,6257888
130,6905795
130,2980687
130,8616215
130,1854098
130,3023936
130,3441942
130,4157751
130,5083485
130,5281887
130,1956372
130,2401635
130,4864255
130,5178694
130,5789970
130,5450406
130,1600522
130,2904809
130,2994412
130,5485980
130,4159433
130,4508251
133,1865721
133,3148503
133,3625696
133,5003516
133,8255993
133,6166117
133,3140027
133,8638975
133,331120
133,9561292
133,1474931
133,2895766
133,5084851
133,8876050
133,3149078
133,3145986
133,8853605
133,5609979
133,8409151
133,3771295
133,4927077
133,7062519
133,2325008
133,2586952
133,4879009
133,3834806
133,5609508
133,429391
133,1475240
133,3145361
133,706691
133,1752007
133,2007237
133,7508000
133,3641823
133,2334005
133,2362449
133,3642650
133,3456617
133,2318571
133,3350961
133,5452010
133,73718
133,707133
133,4651950
134,4440757
134,4298478
134,5105500
134,1900929
134,4102453
134,4175663
134,1399350
134,3321134
134,3637736
134,4298390
134,4623485
134,5687188
134,5687426
134,8266916
134,3195348
134,3368332
134,3009394
134,3367210
134,5484752
134,831748
134,4941081
134,2586555
134,3659181
134,2102801
134,2003850
134,4147636
134,4940674
134,2564519
134,3310753
134,3185700
134,3693861
134,4298591
134,4981186
134,8267243
134,2364755
134,3245235
134,4055262
134,4055436
134,3400154
134,1788044
134,3626879
134,4594123
134,5687637
134,3636580
134,5687790
134,3759773
134,7993557
134,8603083
134,3639356
134,3744369
134,3659343
134,4122798
134,9546782
134,1788047
134,5051928
134,5791058
136,4385304
136,9757430
136,4547502
136,4600633
136,431749
136,1488168
136,2898058
136,2937757
136,3042525
136,4154017
136,6065121
136,7396683
136,1488173
136,5210413
136,9757057
136,4153188
136,6663670
136,2054211
136,6419807
136,3639845
136,7397857
136,1488171
136,1829852
136,1018822
136,1488172
136,2110648
136,2617606
136,432327
136,4154462
136,5303768
136,7414265
136,8451683
136,3889211
136,6467364
136,9326272
136,4153571
136,7531792
136,8064196
136,1487649
136,3222636
136,4547033
136,2149895
136,1832292
136,574426
136,3225875
136,3426177
136,8010892
141,6257005
141,8996642
141,3700033
141,4899824
141,4511358
141,3774543
141,6928901
141,3774617
141,4311163
141,5309733
141,5973320
141,7982114
141,6571395
141,8087613
141,9340351
141,7387487
141,7696760
141,3676783
141,5911830
141,6261596
141,7002934
141,7671742
141,7190242
141,8250356
141,8468938
141,3484578
141,4418681
141,6257451
141,4387767
141,4734622
141,5084617
141,7671741
141,8361095
141,236806
141,847996
141,1220108
141,6937500
141,7855660
141,1868899
141,7207820
141,8711819
141,9256848
141,403251
141,4093935
141,9780021
141,5760214
141,3778629
141,4293800
141,4952378
141,5206307
141,7272392
141,7743632
141,8863754
141,3228665
141,3676635
141,4928534
141,4542775
141,4796634
141,8638999
141,9067112
141,4882813
141,7455486
141,753504
141,1993038
141,4026986
141,1321106
141,12733
141,4441997
141,4568558
141,5760249
141,403163
141,955070
141,1320887
141,2638574
141,4889546
141,8599287
141,5164160
141,8610441
141,2589340
141,1991806
141,5120282
141,7671708
141,3701906
141,5911652
141,8020999
141,4163723
141,5222653
141,3778321
141,4924996
141,161419
141,4093506
141,6195163
141,7580007
141,5675711
141,8639249
141,1266341
141,1603734
141,6114258
141,2343906
141,5133049
141,5164909
141,6257704
141,4379362
141,4380615
141,7272949
141,7305141
151,1313363
151,2329494
151,2531977
151,5003634
151,6104758
151,9676464
151,1146618
151,2087170
151,2323255
151,2750343
151,4910742
151,6261834
151,11882
151,1549100
151,4355690
151,332690
151,2391961
151,2664629
151,3982443
151,4818903
151,4867435
151,8306816
151,1708628
151,1984282
151,3114291
151,3505448
151,4356768
151,6384329
151,1850390
151,3235779
151,4138372
151,4353713
151,7855564
151,8157546
151,9281582
151,3303545
151,4084930
151,5163012
151,1549103
151,2901799
151,3515549
151,4103314
151,4104169
151,4151763
151,4687664
151,4958445
151,2941694
151,3914592
151,5326789
151,6708834
151,2534943
151,3605652
151,4572690
151,5607648
151,6105765
151,6627266
151,3975430
151,4450708
151,4843274
151,5966838
151,6708840
151,2594211
151,4104254
151,7693687
151,1000246
151,1555085
151,1856436
151,2313327
151,3010474
151,3768022
151,5240692
151,7217484
151,8213629
151,9107747
151,3481969
151,6085692
151,1979733
151,3932218
151,6529455
151,7241132
151,3249704
151,3328747
151,3745307
151,4363073
151,5280060
151,6773260
151,9106588
151,331943
151,2593298
151,3154343
151,3509261
151,3672901
151,5035620
151,998664
151,2594167
151,2662262
151,3006930
151,4101393
151,5756758
151,6708837
151,9622557
151,1547561
151,3718375
151,4041141
151,5721230
151,2251555
151,4154445
151,6836246
151,8221258
151,14617
151,998665
151,2310447
151,5326489
151,1403
151,208510
151,3150063
151,3779239
151,7129918
151,7568417
151,9627385
151,1671476
151,1775659
151,3617853
151,4433777
151,5487850
151,2035536
151,4591858
151,5240131
151,8344910
151,8592372
151,1577777
151,3433149
151,8637259
151,1578529
151,1854234
151,998663
151,2392160
151,3151004
151,4842696
151,19523
151,2312237
151,4839002
151,4910228
151,5577866
151,6119704
151,3006173
151,4658921
151,1402053
151,2316717
151,2514906
151,4355038
151,2683282
151,2687047
151,3250400
151,8345268
151,8461263
151,8933679
151,4451492
151,5289501
151,3362084
151,4104053
151,4817469
151,6052661
151,7128832
151,7781079
151,2586088
151,543775
151,208213
151,1685734
151,2978151
151,3155433
151,3607526
151,3913940
151,4299527
151,4567162
151,6773479
151,2363574
151,2597899
151,6079290
151,6293983
151,9541
151,2329104
151,2880459
151,3154795
151,5205682
151,8306172
151,9090998
151,3446905
151,4507603
152,615827
152,3836830
152,979706
152,849713
152,8430948
152,848133
152,4335193
152,979678
152,849693
152,6560205
152,849705
152,615745
152,848097
152,3646851
152,4472486
152,7761980
152,4899631
152,1566789
152,849734
152,848104
152,849728
152,615760
152,982736
152,6039931
152,615821
152,5350983
152,4682669
152,5164125
152,849573
152,849754
152,849003
152,6062035
152,6062552
152,4957384
152,848106
152,849703
152,849751
152,101437
152,615735
152,979606
152,982735
152,1566776
152,615812
152,848137
152,849586
152,7761722
152,849564
152,849717
152,849718
152,4482870
152,615810
152,3663425
152,4480761
152,6561018
152,615781
152,615816
153,1666953
153,2110603
153,2746588
